,county,year,NO2_annualMean,NO2_hrOver200,NO_annualMean,O3_annualMean,O3_daysOver120,O3_dailyMaxAnnualMean,O3_dailyHourlyMax,O3_daily8HrMax,PM10_annualMean,PM2_5_annualMean,cases_per_100k,deaths_per_100k,Population_density,Fully_vaccinated
34,LK Alb-Donau-Kreis,2014,"1,75901E+13",0.006661957687421,"1,01417E+14","4,95294E+14","1,07227E+14","7,49911E+14","1,79196E+14","1,61691E+14","1,70538E+14","1,28092E+14",6357.59116869488,92.83364614235838,146.12749025742227,0.662
35,LK Alb-Donau-Kreis,2015,"1,74511E+14",0.0065867689123946,"1,07406E+14","4,96845E+14","1,13554E+14","7,50907E+14","1,79228E+14","1,61747E+14","1,68857E+14","1,27138E+13",6357.59116869488,92.83364614235838,146.12749025742227,0.662
36,LK Alb-Donau-Kreis,2016,"1,72588E+13",0.0064827141101267,"9,93875E+14","4,94617E+14","1,04466E+14","7,49475E+14","1,79183E+13","1,61667E+14","1,68639E+14","1,26992E+14",6357.59116869488,92.83364614235838,146.12749025742227,0.662
37,LK Alb-Donau-Kreis,2017,"1,67247E+14",0.0061936648988565,"9,38801E+14","5,01781E+14","1,3369E+14","7,54079E+14","1,79328E+13","1,61926E+13","1,66536E+14","1,25665E+14",6357.59116869488,92.83364614235838,146.12749025742227,0.662
38,LK Alb-Donau-Kreis,2018,"1,6882E+13",0.0062788052186716,"9,02973E+14","5,03739E+14","1,41677E+14","7,55338E+14","1,79368E+14","1,61997E+14","1,67644E+13","1,26478E+14",6357.59116869488,92.83364614235838,146.12749025742227,0.662
39,LK Alb-Donau-Kreis,2019,"1,65238E+14",0.0060849710142962,"9,32032E+14","5,06185E+13","1,51655E+14","7,5691E+14","1,79418E+14","1,62085E+14","1,60481E+14","1,21953E+14",6357.59116869488,92.83364614235838,146.12749025742227,0.662
40,LK Altenburger Land,2010,"1,85305E+14",0.0071708293296562,"1,08259E+14","5,06794E+14","1,54136E+14","7,57301E+14","1,7943E+14","1,62108E+13","1,80351E+14","1,33745E+14",10241.5229299651,354.24872108289196,155.0667953141145,0.621
41,LK Altenburger Land,2011,"1,84461E+14",0.0071251856855899,"1,00713E+14","5,10567E+14","1,69527E+14","7,59725E+14","1,79507E+14","1,62244E+14","1,80927E+14","1,33939E+14",10241.5229299651,354.24872108289196,155.0667953141145,0.621
42,LK Altenburger Land,2012,"1,77019E+14",0.0067224903618242,"9,21331E+13","5,14586E+12","1,85925E+14","7,62309E+14","1,79588E+14","1,6239E+14","1,78359E+14","1,32436E+14",10241.5229299651,354.24872108289196,155.0667953141145,0.621
43,LK Altenburger Land,2013,2041907,0.0,"9,21942E+14",4713493,0,7245329,1705742,1527879,205573,"1,31334E+14",10241.5229299651,354.24872108289196,155.0667953141145,0.621
